Datetime,DE_LU,Average
2023-01-01,13,"-2,27"
2023-02-01,0,
2023-03-01,9,"-1,91"
2023-04-01,11,"-2,99"
2023-05-01,33,"-28,58"
2023-06-01,20,"-11,54"
2023-07-01,56,"-39,03"
2023-08-01,23,"-6,69"
2023-09-01,22,"-1,77"
2023-10-01,38,"-1,52"
2023-11-01,3,"-0,04"
2023-12-01,72,"-2,47"
2024-01-01,16,"-1,05"
2024-02-01,4,"-0,07"
2024-03-01,12,"-3,55"
2024-04-01,50,"-19,83"
2024-05-01,78,"-18,71"
2024-06-01,64,"-12,71"
2024-07-01,58,"-13,68"
